target_number,company,canonical_lead_id,status,in_committed_HEAD_csv
001,Deuce Studio,dd365e3c-8d4f-4b76-90ae-e933302095ca,MIGRATED,yes
002,Slice Design,06789dd9-6d59-4abc-8085-9b64d4e8a138,MIGRATED,yes
003,Fellow Partners,d2f61a9f-a96f-43d1-8e0f-551602586ae3,MIGRATED,yes
004,Elouve Collective,34c6fdf3-7ad5-4082-a35f-b2c631998576,MIGRATED,yes
005,LMPP Studio,c30c1ea2-dcc9-48e0-a564-dcacf18b2c03,MIGRATED,yes
006,SUM Design,af1345de-3c9b-4631-9ac2-9f572b52a873,MIGRATED,yes
007,Order Design,60e3e462-f663-408e-8890-dd7346d5562e,MIGRATED,yes
008,Saint Urbain,f8705104-3494-4611-b04a-3e18d72b772a,MIGRATED,yes
009,Other Means,c60d4321-6c28-42a4-92aa-de0acbce3341,MIGRATED,yes
010,Splash Creative,4ee34949-51cd-40fc-82e6-73e2a56d5cf9,MIGRATED,yes
011,Moniker,86791d0c-6a4c-4dca-8a11-7b3854ca42ba,MIGRATED,yes
012,Shawn Scott Studio,f16826c3-e6b4-4a8b-b8c9-d1b44c30c4bd,MIGRATED,yes
013,Strohl,8a9f0171-bbf0-4c4a-ade5-fbb6a31836d9,MIGRATED,yes
014,Elixir Design,588d873d-2774-4494-826a-0737d554b1e3,MIGRATED,yes
015,Wunder,1a9bf5bc-037e-4a34-9db8-d11466b12b53,MIGRATED,yes
016,Wonderland,6cbc2580-6118-4214-987e-280006e3b51d,MIGRATED,yes
017,Helder,ef88a648-ba2d-4ddf-81e5-d3994c1c2f07,MIGRATED,yes
018,A New Day Studio,8c1108a5-ef90-47f6-be7e-c81d49471884,MIGRATED,yes
019,Violet Office,49fcacce-a6b4-4686-8869-b8895d60d1f9,MIGRATED,yes
020,studio sesenta,8f4556ba-dabd-4504-b203-fde7c920a28c,MIGRATED,yes
021,Granyon,8db8fa4f-591e-485f-88d2-b92a894f44d7,MIGRATED,yes
022,Side Perspectives,40d51512-143f-4f7f-91db-1eee2ab8f299,MIGRATED,yes
023,We Are Colette,1d0eea20-dd0d-4283-acfa-defb8aebfc1e,MIGRATED,yes
024,Lolo Agency,593a8ead-9124-4884-8ee2-6f24310fc8be,MIGRATED,yes
025,Moloobhoy & Brown,214c39ef-7b52-4f38-bf41-36d3d6504146,MIGRATED,yes
026,Formulate Creative,f5e55ac4-a86a-43bf-b958-b02407fa883e,MIGRATED,yes
027,Mixed Elements Design Studio,f5a1090a-2169-4eeb-81ab-e842fad7d524,MIGRATED,yes
028,Non-Object,7d6a4986-5b78-46de-a61d-24445661b5fc,MIGRATED,yes
029,Chukster Studio,4f965ada-e01a-4c76-94e8-13b6e21777da,MIGRATED,yes
030,Thonik,535366ff-f554-41bf-8860-b44cccd0f2e1,MIGRATED,yes
